zone,,1
returneth,1
return.,1
return,,1
return'd.,1
return'd,3
return,3
retrograde,1
retirement,,1
retain,1
rests?,1
rests,1
restrain'd,,1
restore,1
rest;,1
rest,,1
rest!,2
rest,9
responsive,1
respects,1
respect,2
resort,,1
resolve,1
resolution,1
resolutes,,1
residence,,1
reserve,1
reserv'd,1
resemble,1
requite,1
requiem,1
request.,1
reputation,1
repulsed,,1
repose,1
report,5
reply.,2
replies,1
replication,1
repentance,1
repent?,1
repent;,1
repel,1
repair,2
rendezvous.,1
render,1
rend,1
removed,1
remove;,1
remove,,1
remorse,1
remiss,,1
remembrances,1
remembrance.,2
remembrance,2
remember?,1
remember.,2
remember,,1
remember,3
rememb'red.,1
remedy.,1
remains,,1
remains,2
remainder,1
remain,2
relish,2
religious,1
religion,1
reliev'd,,1
reliev'd,1
relief,1
relative,1
reigns,1
region;,1
region,1
regards,1
regard,,1
regard,1
reform'd,1
reform,1
reels,,1
reechy,1
redeliver,1
rede.,1
red?,1
red,1
recovery,1
recoveries.,1
recoveries,,1
recover,3
recount,1
records,,1
recorders.,1
recorders!,2
reconcilement,1
recognizances,,1
recks,1
reckoning,1
reckon,1
reckless,1
receive,7
receiv'd,2
rebuke,1
rebels,,1
rebellion,1
reasons,,2
reason.,1
reason,,2
reason!,1
reason,10
rear,1
realm,1
really.,1
ready;,1
ready.,2
ready,1
reading.,1
reading,1
readiness,1
read,,3
read,1
reaches,1
reach,,1
re-deliver.,1
raz'd,1
rawer,1
raw,1
raves,,1
raven,1
ravel,1
ratifiers,1
ratified,1
rather,,2
rather,3
rate,,1
rate,1
rat?,1
rat,,1
rat!',1
rashness,1
rash,,2
rash,1
rascal,,1
rareness,1
rare,,1
rapiers,,1
rapiers,2
rapier,,1
rapier,1
rant,1
ranker.,1
ranker,1
rank,,2
rank,5
range.,1
rais'd,1
rain'd,1
rain,1
rags,,1
rages,,1
rage;,1
rage,2
radiant,1
rack,1
race,1
rabble,1
quoted,1
quite,,1
quite,2
quit,2
quintessence,1
quills,1
quillets,,1
quietus,1
quietly,1
quiet.,1
quiet,4
quiddits,1
quicksilverr,1
quickness.,1
quickly,1
quick;,1
quick.,1
quick,6
questionable,1
question:,1
question.,2
question,,2
question,10
quest,1
queen?,1
queen.,2
queen-',1
queen,,4
queen'?,1
queen',1
queen,2
quarter'd,,1
quarry,1
quarrelling,,1
quarrel;,1
quarrel,1
quantity,,1
quantity,3
quality.,1
quality,3
qualifies,1
quake,1
quaintly,1
puzzles,1
puts,4
put,22
push.-,1
pursy,1
pursuest,1
pursue,2
purse,,1
purse,2
purposes;,1
purposes.,1
purposes,1
purpose.,2
purpose,,4
purpose,5
purpos'd,,1
purpos'd,1
purport,1
purples,,1
purging,2
purgation,1
purg'd,1
purer,1
pure.,1
pure,2
purchases,,1
puppets,1
punish'd,1
punish,1
pulse,1
puff'd,,1
puff'd,1
public,1
provoke,1
providence,2
provided,1
provide.,1
proverb,1
prove,,1
prove,2
prov'd,,1
prov'd,2
proud,,1
proud,2
protestation,1
protest,1
prosperously,1
props,1
proposer,1
propose,,1
proportions,1
prophetic,1
prophesy,2
property,3
proper,1
proof.,2
proof,,1
proof,3
pronouncing,1
pronounce.,1
pronounc'd.,1
pronounc'd,1
promontory;,1
promise-cramm'd.,1
promise,,1
promis'd,2
prolongs,1
prologue,,1
prologue,2
project,1
progress,1
profoundest,1
profound,2
profit,,1
profit,2
profession.,1
profanely),,1
profane,1
prodigal,2
proclaims,2
proclaim'd,1
proclaim,1
procession],,1
process.,1
process,,1
process,1
proceeding,1
proceeded,1
proceed?,1
proceed,1
probation.,1
prize,1
privy,1
privates,1
private,1
prithee,,1
prithee,2
prisoner.,1
prisoner,1
prison.,2
prison,3
princes,1
prince,,3
primy,1
primrose,1
primal,1
priest,,1
pride,,1
prick'd,1
prick,1
prey,1
prevent,,1
prevent,1
pretty,1
prettiness.,1
pressures,1
pressure.,1
presentment,1
presently.,3
presently,2
present,4
presence.,1
presence,2
prescripts,1
prepare,2
preparations,,1
preparation,1
prepar'd,1
prenominate,1
pregnant,2
precurse,1
precisely,1
precious,2
precepts,1
preceding,1
precedent,2
preaching,1
praying;,1
prayers,,2
prayer,2
pray;,1
pray.,2
pray'st,1
pray,17
prate,1
pranks,1
praises,1
praise,,1
praise,1
prais'd,2
practices,1
practice.,1
practice,,1
practice,2
powers,,1
powers,2
powerfully,1
power;,1
power,7
pours,1
pour'd,1
pour,1
pound!,1
potion!,1
potently,1
potent,2
potency.,1
posy,1
postscript,1
post;,1
post-haste,1
post,1
possible?,2
possible,2
posset,1
possession,1
possess'd,1
portraiture,1
portentous,1
portal!,1
porpentine.,1
porches,1
poor,19
poniards,,1
ponderous,1
pomp,,1
poll.,1
politic,1
policy,1
pole,1
poisons,1
poisoning?,1
poisoned,1
poison'd.,2
poison'd,1
poison,6
points,1
point:,1
point,5
poet,1
poem,1
pocky,1
pocket!,1
ply,1
plurisy,,1
plunge,1
plum-tree,1
plucks,1
pluck,2
plots,2
plot,1
plentiful,1
pledge.,1
pleasures,,1
pleasures,1
pleasure.,2
pleasure,2
pleasing,1
please;,2
please.,1
please,9
pleas'd,2
plays,1
playing,,2
players.,2
players,,1
players,11
player,2
play?,2
play;,2
play.),1
play.,11
play,,4
play's,1
play'd,3
play,17
plausive,1
platform,,1
platform,3
plast'ring,1
planets,1
plain,1
plague,,1
plague,1
places,1
placed,1
place.,2
place,,2
place,5
plac'd,2
pity;,1
pity,2
pitiful,1
pitied.,1
pith,3
piteous,3
pit!,1
pit,1
pirate,1
pipe?,2
pipe,1
pious,3
pioner!,1
pin's,1
pile,1
pigeon-liver'd,1
pierce,1
pieces,1
piece,,1
piece,6
picture,,1
picture,1
pickers,1
picked,1
pickaxes].,1
pickaxe,1
pick'd,1
physic,1
phrase;,1
phrase.,1
phrase,,3
